Question	Answer	Reference
After the feeding of the five thousand, who did the people say Jesus was?	"This is indeed the Prophet who is to come into the world!"	John 6:14
When Jesus warned of the leaven of the Pharisees, what did he mean?	Their teaching	Matthew 16:12
What did the father of the demon-possessed boy ask of Jesus?	"if you can do anything, have compassion on us and help us."	Mark 9:22
What did Jesus say to Peter about paying the temple tax?	That the sons are free, but they should pay it not to give offense.	Matthew 17:26-27
What did Jesus say is the will of the Father concerning "little ones"?	That not one of them should perish.	Matthew 18:14
How many times did Peter ask if he should forgive his brother?	"As many as seven times?"	Matthew 18:21
What did the Samaritan woman say she knew about the Messiah?	"When he comes, he will tell us all things."	John 4:25
What was the condition of the man whom Jesus healed at the synagogue in Capernaum?	He had an unclean spirit.	Mark 1:23
When Jesus cast out the unclean spirit, what did it do?	It convulsed the man and cried out with a loud voice before coming out.	Mark 1:26
What did Jesus do for the crowds who came to him on the mountain by the Sea of Galilee?	He healed the lame, the blind, the crippled, the mute, and many others.	Matthew 15:30
What was the disciples' question when Jesus spoke of feeding the four thousand?	"Where are we to get enough bread in such a desolate place to feed so great a crowd?"	Matthew 15:33
After the transfiguration, what did the disciples ask Jesus about?	Why the scribes say that first Elijah must come.	Matthew 17:10
What did the disciples on the road to Emmaus hope Jesus would be?	The one to redeem Israel.	Luke 24:21
How did Jesus appear to the two disciples in the country?	In another form	Mark 16:12
What did Jesus rebuke the eleven for as they were reclining at table?	Their unbelief and hardness of heart.	Mark 16:14
What did Jesus do with the bread and fish before giving it to the seven disciples?	He took the bread and gave it to them, and so with the fish.	John 21:13
In what city did Jesus command his disciples to stay until they were clothed with power from on high?	Jerusalem	Luke 24:49
How many days before the Passover did Jesus arrive in Bethany?	Six	John 12:1
What did Jesus say to the fig tree?	"May no fruit ever come from you again!"	Matthew 21:19
What did Jesus say is written about his house?	"My house shall be called a house of prayer"	Matthew 21:13
What did Jesus say about the baptism of John?	He asked if it was from heaven or from man.	Matthew 21:25
What did the tenants of the vineyard do to the owner's son?	They took him, threw him out of the vineyard, and killed him.	Matthew 21:39
What did the Sadducees say about the resurrection?	That there is no resurrection.	Matthew 22:23
What did Jesus say about God in relation to Abraham, Isaac, and Jacob?	"He is not God of the dead, but of the living."	Matthew 22:32
What did the disciples ask Jesus on the Mount of Olives?	"Tell us, when will these things be, and what will be the sign of your coming and of the end of the age?"	Matthew 24:3
What did Jesus compare the coming of the Son of Man to?	The days of Noah	Matthew 24:37
In the parable of the talents, how many talents did the first servant receive?	Five	Matthew 25:15
What did the King say to those on his left that they failed to do for him?	They did not give him food, drink, welcome, clothing, or visit him.	Matthew 25:42-43
How long before the Passover was the plot by the Sanhedrin to arrest and kill Jesus?	Two days	Matthew 26:1-2
What was Judas's question to Jesus at the Last Supper?	"Is it I, Rabbi?"	Matthew 26:25
What did Jesus say to Judas at the table?	"You have said so."	Matthew 26:25
What did Jesus tell his disciples he had overcome?	The world	John 16:33
Who did Jesus pray for in John 17?	For himself, for his disciples, and for all who would believe in him.	John 17:1, 9, 20
What did the angel from heaven do for Jesus in Gethsemane?	Strengthened him	Luke 22:43
What did Jesus say about the cup he was to drink?	"shall I not drink the cup that the Father has given me?"	John 18:11
What was Pilate's question to the Jews when they brought Jesus to him?	"What accusation do you bring against this man?"	John 18:29
What did the Jews say was not lawful for them to do?	Put anyone to death.	John 18:31
What did Pilate's soldiers put on Jesus?	A scarlet robe and a crown of thorns.	Matthew 27:28-29
What was mixed with the wine offered to Jesus at Golgotha?	Gall	Matthew 27:34
Who was the first person to speak to Jesus on the cross?	One of the criminals, who railed at him.	Luke 23:39
What did Jesus say about his thirst on the cross?	"I thirst."	John 19:28
What was the centurion doing when he saw how Jesus breathed his last?	Standing facing him	Mark 15:39
Where was Jesus' new tomb located?	In a garden in the place where he was crucified.	John 19:41
Who rolled the stone away from the tomb?	An angel of the Lord	Matthew 28:2
Who did Mary Magdalene see sitting in the tomb?	Two angels in white	John 20:12
What was the first thing Mary Magdalene said to the disciples?	"They have taken the Lord out of the tomb, and we do not know where they have laid him."	John 20:2
What did Jesus ask the two disciples on the road to Emmaus?	"What is this conversation that you are holding with each other as you walk?"	Luke 24:17
What did Jesus say to the disciples who were gathered in the locked room?	"Why are you troubled, and why do doubts arise in your hearts?"	Luke 24:38
How many of his disciples was Jesus with when he appeared by the Sea of Tiberias?	Seven	John 21:2
What did the disciple whom Jesus loved say to Peter when they saw the man on the shore?	"It is the Lord!"	John 21:7
What was Peter's reaction when he heard it was the Lord?	He put on his outer garment and threw himself into the sea.	John 21:7
What did Jesus tell the disciples to bring to the breakfast on the shore?	"Bring some of the fish that you have just caught."	John 21:10
What did Jesus say about his betrayer's hand?	"But behold, the hand of him who betrays me is with me on the table."	Luke 22:21
Who did Jesus say would sift the disciples like wheat?	Satan	Luke 22:31
What did Jesus pray for Peter?	That his faith may not fail.	Luke 22:32
What did Jesus say to the scribes about their teaching?	"Woe to you! For you build the tombs of the prophets whom your fathers killed."	Luke 11:47
What was the name of the man who died between the altar and the sanctuary?	Zechariah	Luke 11:51
What was the name of the tax collector Jesus called?	Levi/Matthew	Luke 5:27, Matthew 9:9
What did Jesus say to the paralytic's friends?	The text does not record him speaking to them directly, but he saw their faith.	Mark 2:5
How many brothers did the rich man in Hades have?	Five	Luke 16:28
What did the Sadducees ask about the woman with seven husbands?	"In the resurrection... whose wife will she be?"	Matthew 22:28
What did Jesus call the Pharisees who were like cups clean on the outside but dirty on the inside?	"You blind Pharisee!"	Matthew 23:26
When was the Feast of Unleavened Bread, when the Sanhedrin plotted against Jesus?	Two days before the Passover	Mark 14:1
What did the disciples say about the woman who anointed Jesus?	That the ointment could have been sold and the money given to the poor.	Mark 14:4-5
What did the disciples find in the city, just as Jesus had told them?	A man carrying a jar of water, who led them to a house with a large upper room furnished and ready.	Mark 14:13-16
What did Jesus say to Peter after he declared he would never fall away?	"Truly, I tell you, this very night, before the rooster crows, you will deny me three times."	Matthew 26:34
What did Jesus say about those who love him?	They will keep his commandments.	John 14:15
What did Jesus say about the servant and his master?	"A servant is not greater than his master."	John 15:20
What did Jesus say was the reason the disciples couldn't bear the things he had to say?	They couldn't bear them now.	John 16:12
What did Jesus say about his Father's love for the disciples?	"for the Father himself loves you, because you have loved me and have believed that I came from God."	John 16:27
Who did Jesus say he was not praying for in his high priestly prayer?	The world	John 17:9
What did Jesus ask Peter in the Garden of Gethsemane?	"Simon, are you asleep? Could you not watch one hour?"	Mark 14:37
What did the council accuse Jesus of deserving?	Death	Mark 14:64
What did the guards say to Jesus while striking him?	"Prophesy!"	Mark 14:65
What was the name of the place where Pilate sat on the judgment seat?	The Stone Pavement (Gabbatha in Aramaic)	John 19:13
What did the chief priests say to Pilate about Jesus's kingship?	"We have no king but Caesar."	John 19:15
What happened to the rocks at Jesus' death?	They were split.	Matthew 27:51
Who did the centurion praise after seeing what had taken place at the crucifixion?	God	Luke 23:47
What did the angel say to the women at the tomb?	"Do not be afraid, for I know that you seek Jesus who was crucified."	Matthew 28:5
How did the disciple whom Jesus loved react when he entered the empty tomb?	He saw and believed.	John 20:8
What was the name Jesus used when he spoke to Mary Magdalene at the tomb?	"Mary."	John 20:16
What did the two disciples say about Jesus of Nazareth to the stranger on the road to Emmaus?	That he was a prophet mighty in deed and word.	Luke 24:19
How did the disciples on the road to Emmaus describe their hearts?	"Did not our hearts burn within us...?"	Luke 24:32
What did Jesus say would be proclaimed in his name to all nations?	Repentance for the forgiveness of sins	Luke 24:47
What did the disciples do after Jesus was carried up into heaven?	They worshiped him and returned to Jerusalem with great joy.	Luke 24:52
To whom did Luke write his orderly account so that he may have certainty concerning the things he had been taught?	Theophilus	Luke 1:3
In John's prologue, what was with God in the beginning and was also God?	The Word	John 1:1
Who was sent from God to bear witness about the light?	A man whose name was John	John 1:6-7
According to John's prologue, what did the Word become?	Flesh	John 1:14
According to Matthew's genealogy, how many generations were there from Abraham to David?	Fourteen generations	Matthew 1:17
In Luke's genealogy, Joseph was supposedly the son of whom?	Heli	Luke 3:23b
During the reign of what king of Judea was Zechariah a priest?	Herod	Luke 1:5
What was Zechariah's punishment for not believing the angel Gabriel's words about his future son?	He would be silent and unable to speak until the day the events took place.	Luke 1:20
To what city in Galilee was the angel Gabriel sent to speak to Mary?	Nazareth	Luke 1:26
What happened to the baby in Elizabeth's womb when Elizabeth heard Mary's greeting?	The baby leaped in her womb.	Luke 1:41
What name did Zechariah write on a tablet for his newborn son?	His name is John.	Luke 1:63
In his prophecy, what did Zechariah say his child would be called?	The prophet of the Most High	Luke 1:76
An angel told Joseph in a dream that the child conceived in Mary was from whom?	The Holy Spirit	Matthew 1:20
What does the name "Immanuel" mean?	God with us	Matthew 1:23
Which Roman Caesar issued a decree that all the world should be registered?	Caesar Augustus	Luke 2:1
What did the multitude of the heavenly host say when praising God to the shepherds?	"Glory to God in the highest, and on earth peace among those with whom he is pleased!"	Luke 2:14
What was the name of the righteous and devout man in Jerusalem who was waiting for the consolation of Israel?	Simeon	Luke 2:25
What prophetess, the daughter of Phanuel, began to give thanks to God and speak of the child Jesus in the temple?	Anna	Luke 2:36-38
What gifts did the wise men from the east offer to the child Jesus in Bethlehem?	Gold and frankincense and myrrh	Matthew 2:11
What prophecy was fulfilled when Joseph took Jesus and Mary to Egypt?	"Out of Egypt I called my son."	Matthew 2:15
Herod the king ordered the killing of all male children of what age and under in and around Bethlehem?	Two years old or under	Matthew 2:16
Why did Joseph withdraw to the district of Galilee upon returning from Egypt?	He heard that Archelaus was reigning over Judea and was afraid to go there.	Matthew 2:22
How old was Jesus when his parents found him in the temple after he stayed behind in Jerusalem?	Twelve years old	Luke 2:42
During the high priesthood of which two men did the word of God come to John the son of Zechariah?	Annas and Caiaphas	Luke 3:2
What kind of clothing did John the Baptist wear in the wilderness?	A garment of camel's hair and a leather belt around his waist.	Matthew 3:4
What was John the Baptist's diet in the wilderness?	Locusts and wild honey	Matthew 3:4
What did John the Baptist tell the tax collectors who came to be baptized?	"Collect no more than you are authorized to do."	Luke 3:13
With what two things did John the Baptist say the one coming after him would baptize people?	With the Holy Spirit and fire	Matthew 3:11
After Jesus was baptized, what did the voice from heaven say?	"This is my beloved Son, with whom I am well pleased."	Matthew 3:17
About how old was Jesus when he began his ministry?	About thirty years of age	Luke 3:23a
For how many days was Jesus tempted by the devil in the wilderness?	Forty days	Luke 4:2
When the devil tempted Jesus to turn stones into bread, what was Jesus' response?	"It is written, ‘Man shall not live by bread alone, but by every word that comes from the mouth of God.’"	Matthew 4:4
When priests and Levites asked John the Baptist who he was, what did he say, quoting Isaiah?	"I am the voice of one crying out in the wilderness, ‘Make straight the way of the Lord.’"	John 1:23
What did John the Baptist exclaim when he saw Jesus coming toward him?	"Behold, the Lamb of God, who takes away the sin of the world!"	John 1:29
Which of the first disciples found his brother, Simon, and told him, "We have found the Messiah"?	Andrew	John 1:40-41
What new name did Jesus give to Simon, son of John?	Cephas (which means Peter)	John 1:42
How many stone water jars were at the wedding in Cana that Jesus instructed to be filled with water?	Six	John 2:6
When Jesus cleansed the temple the first time, what did he tell those who sold pigeons?	"Take these things away; do not make my Father's house a house of trade."	John 2:16
What was the name of the Pharisee and ruler of the Jews who came to Jesus by night?	Nicodemus	John 3:1
Jesus told Nicodemus that for someone to see the kingdom of God, what must happen?	One must be born again.	John 3:3
What did John the Baptist say to illustrate the relationship between his ministry and Jesus's?	"He must increase, but I must decrease."	John 3:30
For reproving Herod the tetrarch about whom did John the Baptist get locked in prison?	Herodias, his brother's wife	Luke 3:19
At what town in Samaria did Jesus speak with a woman at a well?	Sychar	John 4:5
How many husbands did Jesus say the Samaritan woman at the well had had?	Five	John 4:18
What did the people of Sychar come to know Jesus as after he stayed with them for two days?	"indeed the Savior of the world."	John 4:42
After leaving Judea, what was the first thing Matthew records Jesus preaching?	"Repent, for the kingdom of heaven is at hand."	Matthew 4:17
What was the second sign that Jesus performed after returning from Judea to Galilee?	He healed an official's son at Capernaum while he was at Cana.	John 4:54
When Jesus taught in the synagogue in his hometown of Nazareth, what passage from Isaiah did he read?	The Spirit of the Lord is upon me, because he has anointed me to proclaim good news to the poor...	Luke 4:18-19
After Jesus healed Simon's mother-in-law, what did she do?	She rose and began to serve him.	Matthew 8:15
