Question	Answer	Reference
What did Jesus say about what would happen in the days of the Son of Man?	It would be like the days of Noah.	Luke 17:26
What was the Pharisee's prayer in the temple?	He thanked God he was not like other men.	Luke 18:11
What was the disciples' question to Jesus about his teaching on divorce?	"If such is the case of a man with his wife, it is better not to marry."	Matthew 19:10
What did Jesus say about the rich person entering the kingdom of heaven?	"it is easier for a camel to go through the eye of a needle than for a rich person to enter the kingdom of God."	Matthew 19:24
What did Jesus say about those who are last?	"But many who are first will be last, and the last first."	Matthew 19:30
What did Jesus say to the disciples when they were indignant at the sons of Zebedee?	"You know that the rulers of the Gentiles lord it over them... It shall not be so among you."	Matthew 20:25-26
What did Jesus say to the chief priests and elders after they answered "We do not know"?	"Neither will I tell you by what authority I do these things."	Matthew 21:27
What did the king do when his invited guests would not come to the feast?	He was angry and sent his troops to destroy them.	Matthew 22:7
What did Jesus say the scribes and Pharisees love?	The place of honor at feasts, the best seats in the synagogues, and greetings in the marketplaces.	Matthew 23:6-7
What did Jesus say about the temple stones?	"there will not be left here one stone upon another that will not be thrown down."	Matthew 24:2
What did the five foolish virgins take with them?	Their lamps, but no oil.	Matthew 25:3
What was the master's response to the virgins who knocked on the door?	"Truly, I say to you, I do not know you."	Matthew 25:12
How much was the ointment Mary used worth?	More than three hundred denarii.	Mark 14:5
What did the disciples say about the Passover lamb?	They asked where to prepare for Jesus to eat it.	Mark 14:12
What did Jesus say the cup represented?	"my blood of the covenant, which is poured out for many."	Mark 14:24
What did Jesus say would happen to the sheep when the shepherd is struck?	"the sheep will be scattered"	Mark 14:27
What did Jesus say about his own soul in Gethsemane?	"My soul is very sorrowful, even to death."	Mark 14:34
What did the high priest say after Jesus's testimony?	"What further witnesses do we need? You have heard his blasphemy."	Mark 14:63-64
What did Peter do after denying Jesus the third time?	He broke down and wept.	Mark 14:72
What was the name of the place where Jesus was crucified, in Aramaic?	Golgotha	John 19:17
What did Pilate say about what he had written?	"What I have written I have written."	John 19:22
What did the mother of James and Joseph do at the crucifixion?	She was looking on from a distance.	Matthew 27:56
Who was with Joseph of Arimathea when he buried Jesus?	Nicodemus	John 19:39
What was the reason the tomb was made secure?	Lest his disciples go and steal him away and tell the people, ‘He has risen from the dead.’	Matthew 27:64
What was the young man in the tomb wearing?	A white robe	Mark 16:5
What did the disciples at Emmaus say about the third day?	"it is now the third day since these things happened."	Luke 24:21
What did the disciples on the road to Emmaus recognize Jesus by?	His breaking of the bread.	Luke 24:35
What did Jesus do with the disciples in Jerusalem to show he was not a spirit?	He showed them his hands and his feet and ate a piece of broiled fish.	Luke 24:39-43
What was the question the disciples on the boat asked when they saw the fish on the fire?	None of them dared ask him, "Who are you?"	John 21:12
What did Jesus say about the signs that would accompany believers?	They would cast out demons, speak in new tongues, pick up serpents, and heal the sick.	Mark 16:17-18
What was the last thing Jesus did on earth?	He was taken up into heaven and sat down at the right hand of God.	Mark 16:19
In Mary's song, who has God helped?	"his servant Israel"	Luke 1:54
What did Zechariah do immediately after his mouth was opened?	He spoke, blessing God.	Luke 1:64
What did Herod's chief priests and scribes tell him about the Christ's birthplace?	"In Bethlehem of Judea"	Matthew 2:5
What did the people of Jerusalem and Judea do when they went out to John?	They were baptized by him in the river Jordan, confessing their sins.	Matthew 3:6
What was the name of the place where John the Baptist was baptizing?	The river Jordan, and Bethany across the Jordan.	Matthew 3:6, John 1:28
Where did the unclean spirits from the demoniac ask to be sent?	Into the herd of pigs.	Mark 5:12
How many years had the woman with the discharge of blood suffered?	Twelve years	Mark 5:25
What was the disciples' reaction when Jesus told them to give the crowd something to eat?	"Shall we go and buy two hundred denarii worth of bread and give it to them to eat?"	Mark 6:37
What did Jesus say to his disciples after Peter's confession?	He strictly charged them to tell no one that he was the Christ.	Matthew 16:20
What did Jesus say about the Holy Spirit and blasphemy?	"whoever blasphemes against the Holy Spirit never has forgiveness, but is guilty of an eternal sin"	Mark 3:29
What did Jesus say about a city or house divided against itself?	"it will not stand"	Matthew 12:25
What was the Pharisees' response to Jesus's parables about the kingdom?	They perceived that he was speaking about them.	Matthew 21:45
What was the punishment for the man without a wedding garment?	He was bound hand and foot and cast into the outer darkness.	Matthew 22:13
What did Jesus say about the things that are Caesar's?	"render to Caesar the things that are Caesar’s"	Matthew 22:21
What did Jesus say about the law and the prophets depending on the two great commandments?	"On these two commandments depend all the Law and the Prophets."	Matthew 22:40
What did Jesus tell his disciples not to be called?	Rabbi, father, or instructors.	Matthew 23:8-10
What did the five wise virgins take with them?	Flasks of oil with their lamps.	Matthew 25:4
What was the reason the Sanhedrin did not want to arrest Jesus during the feast?	"lest there be an uproar among the people."	Matthew 26:5
What did Jesus say to Peter after he drew his sword?	"Put your sword back into its place. For all who take the sword will perish by the sword."	Matthew 26:52
What did the chief priests do with the money Judas returned?	They bought the potter's field as a burial place for strangers.	Matthew 27:7
What was the crowd's response when Pilate asked what evil Jesus had done?	They shouted all the more, "Let him be crucified!"	Matthew 27:23
What was the name of the man who carried Jesus's cross?	Simon of Cyrene	Mark 15:21
What was Jesus's last cry on the cross, according to Mark?	"Eloi, Eloi, lema sabachthani?"	Mark 15:34
Who saw where Jesus was laid?	Mary Magdalene and Mary the mother of Joses	Mark 15:47
What did the women at the tomb see when they looked up?	That the stone had been rolled back.	Mark 16:4
What was the reaction of the disciples to Mary Magdalene's report of the risen Christ?	They would not believe it.	Mark 16:11
What was Thomas's condition for belief?	"Unless I see in his hands the mark of the nails, and place my finger into the mark of the nails, and place my hand into his side, I will never believe."	John 20:25
What did Jesus say to those who have not seen and yet have believed?	"Blessed are those who have not seen and yet have believed."	John 20:29
What was Peter's state when Jesus appeared on the shore?	He was stripped for work.	John 21:7
What did Jesus tell his disciples would be proclaimed in his name?	Repentance for the forgiveness of sins	Luke 24:47
